file,label,duration_sec,tempo_est,rms_mean,rms_std,zcr_mean,centroid_mean,bandwidth_mean,rolloff_mean,flatness_mean,onset_strength_mean,onset_strength_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-01 - 001 - 120 bpm - rock-ish.wav,0,12.0,80.74951171875,0.08500982820987701,0.08303666114807129,0.1455852574951644,2568.870027994252,2444.8180725738234,4867.7742402834865,0.0554041750729084,2.987607479095459,6.268496513366699,-286.93389892578125,151.01934814453125,60.33038330078125,53.73857116699219,24.361244201660156,33.68391418457031,19.520910263061523,22.477054595947266,2.1740949153900146,23.694683074951172,15.316390037536621,18.03460121154785,1.6532092094421387,15.997224807739258,8.300352096557617,13.1367826461792,-2.2790465354919434,13.576452255249023,3.264498710632324,9.744865417480469,-1.6421810388565063,10.099279403686523,3.5866103172302246,7.986619472503662,-2.2063353061676025,8.429001808166504
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-02 - 002 - 121 bpm - crash-y tom-y.wav,2,12.0,123.046875,0.05285590514540672,0.045554034411907196,0.11950140534332689,3631.1704569137864,3179.5388287698615,7617.443493487065,0.04880494251847267,1.8823015689849854,4.008124351501465,-229.94940185546875,98.1061782836914,32.45991516113281,28.37578010559082,18.339439392089844,25.126218795776367,20.705463409423828,12.360803604125977,12.498042106628418,10.353718757629395,22.277597427368164,10.912689208984375,11.294835090637207,9.621749877929688,16.07667350769043,7.042296409606934,5.879543781280518,7.211546897888184,10.105318069458008,5.7833428382873535,5.257595062255859,5.732813835144043,10.190404891967773,5.638173580169678,4.842529296875,5.980849266052246
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-03 - 003 - 101 bpm - slow spacey.wav,3,12.0,135.99917763157896,0.038114141672849655,0.049390893429517746,0.14853572292069633,3572.8558728655553,3162.1992675596684,7484.370797192336,0.0682377889752388,1.6126121282577515,2.750236988067627,-245.80889892578125,67.07681274414062,43.15446090698242,24.17630386352539,27.20772361755371,14.39063835144043,30.494831085205078,11.065637588500977,11.429547309875488,9.013647079467773,22.473310470581055,8.061347961425781,4.03183650970459,9.347312927246094,12.206530570983887,8.865179061889648,1.95572030544281,8.247802734375,4.688544750213623,6.851672172546387,0.47434818744659424,6.210823059082031,3.0351407527923584,5.286370277404785,-2.0016274452209473,6.209774017333984
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-04 - 004 - 93 bpm - rock.wav,3,12.0,123.046875,0.09655342996120453,0.08226010948419571,0.04751061563104449,1906.3436925936717,2523.2156761212514,4285.274023059719,0.011705870740115643,2.6986937522888184,5.000280857086182,-317.767822265625,106.9439926147461,71.63419342041016,36.28477096557617,42.61381912231445,18.77434730529785,46.49980545043945,8.160256385803223,25.47818374633789,8.792482376098633,37.326820373535156,7.7378129959106445,16.883499145507812,8.935738563537598,20.423063278198242,7.727534294128418,14.631021499633789,9.732308387756348,7.432805061340332,6.8662428855896,3.617520809173584,6.833452224731445,5.325528144836426,6.323218822479248,0.37962087988853455,6.770109176635742
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-05 - 005 - 124 bpm - funk groove.wav,2,12.0,123.046875,0.11259917914867401,0.11124606430530548,0.22043678977272727,3419.7006343092003,2990.294631383314,7038.858404104207,0.08362627774477005,1.840145230293274,3.3396754264831543,-216.41799926757812,82.76586151123047,39.13850021362305,30.56730079650879,31.64195442199707,18.694135665893555,31.948020935058594,11.35110092163086,4.370262622833252,10.312525749206543,21.45500946044922,12.140586853027344,8.136876106262207,14.040332794189453,10.621774673461914,11.39753532409668,4.023068428039551,11.173072814941406,4.6914215087890625,6.707058429718018,0.7774473428726196,5.9327826499938965,5.168535232543945,7.474640846252441,-4.6604413986206055,8.043977737426758
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-06 - 006 - 99 bpm - hard rock punk.wav,3,12.0,129.19921875,0.08199295401573181,0.06664518266916275,0.16152475973162475,3141.4964876363356,2885.1599086711535,6621.938939343569,0.0782243013381958,1.8705724477767944,3.33162784576416,-164.86415100097656,62.11919403076172,57.007328033447266,29.251747131347656,17.557950973510742,13.054971694946289,29.47173500061035,12.757166862487793,2.881443977355957,13.522542953491211,14.667533874511719,9.547910690307617,-5.1627373695373535,8.964099884033203,3.6281259059906006,9.346336364746094,-4.451717853546143,8.006328582763672,0.9032518267631531,6.98156213760376,-5.368705749511719,5.942195415496826,-0.9312610030174255,6.0648064613342285,-6.874985218048096,6.34946870803833
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-07 - 007 - 120 bpm - rock funk groove.wav,2,12.0,161.4990234375,0.09761867672204971,0.07734712213277817,0.09876503566247583,2306.7480096766667,2523.314411869968,5003.345954349009,0.03939157351851463,2.9383561611175537,4.938422679901123,-214.10984802246094,109.18412780761719,84.01966094970703,33.439762115478516,13.139808654785156,14.844734191894531,31.3033390045166,7.00248908996582,10.085993766784668,11.118667602539062,16.665653228759766,8.970890998840332,3.1055805683135986,11.047439575195312,5.116176605224609,10.843192100524902,0.11451325565576553,9.472243309020996,4.162257671356201,6.989641189575195,-0.9849864840507507,6.825930118560791,1.5100443363189697,6.940775394439697,-2.082237720489502,6.194877624511719
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-08 - 008 - 135 bpm - steady marching.wav,2,12.0,135.99917763157896,0.05946420133113861,0.05384831130504608,0.06013226094052224,2492.6003017319977,2663.549496922055,5575.662674156794,0.030665230005979538,2.2762019634246826,4.533164978027344,-263.5911560058594,99.5770034790039,64.39707946777344,27.259607315063477,11.003143310546875,14.555665969848633,41.58145523071289,8.227155685424805,11.423944473266602,7.728993892669678,24.80947494506836,6.497482776641846,9.651327133178711,6.872776508331299,17.154705047607422,6.297391891479492,5.65455436706543,5.987369537353516,5.225866317749023,6.233500003814697,1.5850160121917725,7.011916160583496,3.9825658798217773,5.456124305725098,2.746633291244507,7.797285079956055
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-09 - 009 - 102 bpm - funk-ish.wav,1,12.0,103.359375,0.15191875398159027,0.10069115459918976,0.1355693529376209,2812.341557499948,2823.607354346765,6031.712592178434,0.04478773847222328,2.7169880867004395,4.7611985206604,-182.85182189941406,112.9149169921875,55.63165283203125,33.32184982299805,23.10284996032715,25.976444244384766,28.420047760009766,7.800439834594727,14.23166275024414,12.146882057189941,24.62152099609375,8.917580604553223,4.305476188659668,13.582938194274902,10.652665138244629,9.35422134399414,1.8192778825759888,9.21661376953125,5.0128889083862305,8.388236045837402,2.2862789630889893,7.686197757720947,8.381431579589844,8.020654678344727,-3.8858895301818848,8.715070724487305
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-10 - 010 - 141 bpm - breakbeat.wav,1,12.0,143.5546875,0.06122191250324249,0.04452592134475708,0.09087886847195357,2352.94386654962,2546.681235366116,5225.8210113938585,0.04506191238760948,2.6683125495910645,4.661211967468262,-194.17462158203125,93.34905242919922,91.83101654052734,35.036380767822266,9.12777328491211,23.168928146362305,23.077131271362305,12.24121379852295,3.1827096939086914,6.178022861480713,24.96976661682129,7.141915798187256,5.836859226226807,9.878028869628906,13.862936973571777,5.269125938415527,-0.46671512722969055,5.0673298835754395,6.823338508605957,5.164459228515625,-1.678606390953064,7.2490034103393555,7.083526134490967,4.612816333770752,1.4080531597137451,5.380937576293945
